City,Cloudiness,Country,Date,Humidity,Lng,Lat,Max Temp,Wind speed
Saint-Joseph,0,FR,1548882000,30,6.97,43.56,44.6,18.34
Gillette,1,US,1548881580,39,-105.5,44.29,35.96,10.29
Rio Grande,40,BR,1548881100,74,-52.1,-32.03,82.4,11.41
Priargunsk,0,RU,1548883658,60,119.09,50.37,-13.95,5.84
Caceres,48,CO,1548883497,83,-74.53,5.53,73.85,1.81
Dingle,48,PH,1548883659,87,122.67,11.0,74.39,11.99
Okato,0,NZ,1548883659,92,173.88,-39.19,68.5,3.38
Talcahuano,0,CL,1548882000,49,-73.12,-36.72,69.8,18.34
Xining,0,CN,1548883660,23,101.77,36.62,16.38,15.23
Igarka,0,RU,1548883660,0,86.57,67.47,-52.06,3.6
Kruisfontein,92,ZA,1548883660,89,24.73,-34.0,66.6,6.85
Kihei,40,US,1548881760,78,-156.45,20.76,75.02,18.34
Inuvik,90,CA,1548882000,76,-133.71,68.36,-4.01,13.87
Marystown,64,CA,1548883661,96,-55.16,47.17,30.79,16.24
Vila,0,IT,1548881400,84,8.4,45.18,32.0,1.12
Natal,40,BR,1548882000,70,-35.21,-5.81,84.2,18.34
Tirschenreuth,90,DE,1548881760,83,12.34,49.88,32.18,3.36
Langsa,0,ID,1548883076,94,97.97,4.47,67.64,1.92
Tutoia,20,BR,1548882000,62,-42.27,-2.76,84.2,11.41
Kogon,90,UZ,1548882000,86,64.54,39.73,39.2,4.7
Seoul,0,KR,1548882000,26,126.98,37.57,33.8,9.17
Collipulli,0,CL,1548882000,37,-72.44,-37.96,84.2,10.29
Kupang,40,ID,1548882000,94,123.6,-10.16,78.8,2.24
Young,88,UY,1548883663,80,-57.63,-32.7,85.15,8.97
Saldanha,92,PT,1548883664,98,-6.55,41.42,48.2,14.9
Brezova pod Bradlom,88,SK,1548882000,92,17.54,48.66,30.2,3.36
Ottawa,40,CA,1548882000,35,-75.69,45.42,10.4,17.22
Geraldton,90,CA,1548882000,56,-86.95,49.72,-16.61,12.75
Imuris,56,MX,1548883665,31,-110.86,30.78,68.76,7.63
Mount Gambier,40,AU,1548882000,72,140.78,-37.83,59.0,5.82
Aykhal,32,RU,1548883665,0,111.51,65.95,-48.02,2.93
Mandiana,0,GN,1548883665,42,-8.7,10.62,74.12,5.17
Puerto Rico,8,PY,1548883382,48,-55.03,-26.82,93.7,2.93
Sao Filipe,68,CV,1548883666,97,-24.5,14.9,71.24,18.03
Tavda,8,RU,1548883666,59,65.27,58.04,-12.06,7.4
Vytegra,80,RU,1548883666,92,36.45,61.01,25.11,7.74
Hay River,90,CA,1548882000,76,-115.79,60.82,-5.81,16.11
Chanika,20,MW,1548883667,100,34.19,-12.93,70.07,2.59
Dabat,0,ET,1548883667,30,37.77,12.98,53.15,1.92
Manokwari,80,ID,1548883667,100,134.08,-0.87,81.19,2.37
Skibbereen,20,IE,1548882000,100,-9.27,51.55,32.0,4.7
Najran,5,SA,1548882000,55,44.22,17.54,64.4,3.04
Husavik,0,CA,1548883670,78,-96.99,50.56,-25.78,3.94
Wukari,24,NG,1548883670,77,9.78,7.87,71.91,2.37
Bubaque,24,GW,1548883671,95,-15.83,11.28,79.2,6.85
Kabwe,76,ZM,1548883671,74,28.44,-14.44,71.46,7.63
Avera,1,US,1548882900,31,-82.53,33.19,48.92,11.41
Hithadhoo,44,MV,1548883671,99,73.08,-0.6,83.75,16.8
Bathsheba,40,BB,1548882000,57,-59.52,13.22,80.6,16.11
Villa Bruzual,20,VE,1548883673,45,-69.12,9.33,90.32,3.83
Daru,68,SL,1548883673,51,-10.85,7.99,86.41,9.08
La Palma,48,CO,1548883674,83,-74.39,5.36,73.85,1.81
Beboto,68,TD,1548883674,23,16.94,8.27,75.87,8.75
Locri,90,IT,1548878100,100,16.26,38.24,50.0,3.36
Muzhi,24,RU,1548883677,78,64.7,65.4,-37.71,3.15
Porbandar,0,IN,1548883677,80,69.61,21.64,60.21,8.41
Gimli,0,CA,1548883409,78,-96.99,50.63,-25.78,3.94
Dzaoudzi,0,YT,1548882000,88,45.27,-12.79,78.8,3.36
Hasaki,75,JP,1548882000,92,140.83,35.73,28.4,1.12
Ixtapa,5,MX,1548881280,51,-105.21,20.71,80.6,12.75
Ojinaga,40,US,1548881700,26,-104.41,29.56,60.44,4.05
Cockburn Town,0,TC,1548883606,100,-71.14,21.46,78.75,9.19
Kondinskoye,0,RU,1548883680,61,67.41,59.65,-20.52,5.39
Halifax,90,CA,1548882000,100,-63.58,44.65,35.6,19.46
Ponta do Sol,24,BR,1548883683,38,-46.0,-20.63,87.44,3.94
Ribeira Grande,75,PT,1548880200,93,-28.7,38.52,62.6,19.46
Corralillo,0,CU,1548883685,58,-80.59,22.98,79.52,7.96
Aswan,0,EG,1548883685,73,32.9,24.09,51.57,3.38
Darhan,0,MN,1548883686,54,105.92,49.49,-2.21,8.3
Gat,32,SN,1548882000,32,-16.54,14.69,80.6,4.7
Caravelas,20,BR,1548883686,100,-39.27,-17.73,82.54,10.87
Labuhan,8,ID,1548883686,97,115.51,-2.54,71.37,1.59
Sucua,40,EC,1548882000,69,-78.17,-2.46,78.8,8.05
Marigot,20,HT,1548882000,66,-72.32,18.23,84.2,16.11
De Land,1,US,1548882900,63,-88.65,40.12,-2.03,13.87
Russell,40,AR,1548882000,59,-68.8,-33.01,93.2,23.04
Tayshet,68,RU,1548883688,71,98.01,55.94,12.29,6.4
Quatre Cocos,75,MU,1548882000,78,57.76,-20.21,80.6,11.41
